catalog_id,japanese_name,english_name,scientific_name,taxon_group,min_depth_m,max_depth_m,depth_evidence_note,size_note,gameplay_visual_note,primary_source_url,taxonomy_source_url,image_reference_url,image_rights_note,source_checked_date
I069,,Vent shrimp,Rimicaris exoculata,shrimp,1100,4088,OBIS returned-record depth envelope,body about 5 cm,pale vent shrimp with enlarged dorsal visual organ and bacterial chamber,https://api.obis.org/v3/occurrence?taxonid=107542&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107542,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=64127&tid=107542,reference-only; rights verification required,2026-08-06
I070,,Vent shrimp,Alvinocaris markensis,shrimp,1600,3670,OBIS returned-record depth envelope,body about 4 cm,pale translucent shrimp with long antennae,https://api.obis.org/v3/occurrence?taxonid=378091&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=378091,https://www.gbif.org/occurrence/search?scientific_name=Alvinocaris%20markensis&media_type=StillImage,reference-only; rights verification required,2026-08-06
I071,,Vent shrimp,Mirocaris fortunata,shrimp,810,4088,OBIS returned-record depth envelope,body about 3 cm,slender pale to orange shrimp with very long antennae,https://api.obis.org/v3/occurrence?taxonid=107541&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107541,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=10640&tid=107541,reference-only; rights verification required,2026-08-06
I072,,Purple glass shrimp,Acanthephyra purpurea,shrimp,0,5370,OBIS returned-record depth envelope; 0 m can be tow interval,body about 15 cm,purple red body with large eyes and an elongate rostrum,https://api.obis.org/v3/occurrence?taxonid=107582&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107582,https://www.gbif.org/occurrence/search?scientific_name=Acanthephyra%20purpurea&media_type=StillImage,reference-only; rights verification required,2026-08-06
I073,,Deep-sea shrimp,Oplophorus spinosus,shrimp,0,5230,OBIS returned-record depth envelope; 0 m can be tow interval,body about 15 cm,red body with large eyes and a spinose rostrum,https://api.obis.org/v3/occurrence?taxonid=107602&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107602,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=29537&tid=107602,reference-only; rights verification required,2026-08-06
I074,,Deep-sea shrimp,Notostomus gibbosus,shrimp,0,4000,OBIS returned-record depth envelope; 0 m can be tow interval,body about 15 cm,robust red body and long toothed rostrum,https://api.obis.org/v3/occurrence?taxonid=212899&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=212899,https://www.gbif.org/occurrence/search?scientific_name=Notostomus%20gibbosus&media_type=StillImage,reference-only; rights verification required,2026-08-06
I075,,Golden shrimp,Plesionika martia,shrimp,0,3635,OBIS returned-record depth envelope; 0 m can be tow interval,body about 12 cm,slender red orange shrimp with long antennae and rostrum,https://api.obis.org/v3/occurrence?taxonid=107661&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107661,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=48703&tid=107661,reference-only; rights verification required,2026-08-06
I076,,Deep-sea shrimp,Hymenopenaeus debilis,shrimp,18,2163,OBIS returned-record depth envelope,body about 12 cm,transparent to red body with a long narrow rostrum,https://api.obis.org/v3/occurrence?taxonid=107117&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107117,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=48702&tid=107117,reference-only; rights verification required,2026-08-06
I077,,Deep-sea shrimp,Gennadas valens,shrimp,0,5300,OBIS returned-record depth envelope; 0 m can be tow interval,body about 5 cm,compact red shrimp with large dark eyes and photophores,https://api.obis.org/v3/occurrence?taxonid=107098&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107098,https://www.gbif.org/occurrence/search?scientific_name=Gennadas%20valens&media_type=StillImage,reference-only; rights verification required,2026-08-06
I078,,Saber shrimp,Nematocarcinus ensifer,shrimp,0,4252,OBIS returned-record depth envelope; 0 m can be tow interval,body about 15 cm,very long thin legs and antennae with a narrow rostrum,https://api.obis.org/v3/occurrence?taxonid=107573&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107573,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=129232&tid=107573,reference-only; rights verification required,2026-08-06
I079,,Deep-sea shrimp,Debaspis debilis,shrimp,0,5500,OBIS returned-record depth envelope; 0 m can be tow interval,body about 5 cm,slender pelagic shrimp with long rostrum and large eyes,https://api.obis.org/v3/occurrence?taxonid=1790004&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1790004,https://www.gbif.org/occurrence/search?scientific_name=Debaspis%20debilis&media_type=StillImage,reference-only; rights verification required,2026-08-06
I080,,Vent shrimp,Rimicaris chacei,shrimp,1600,4080,OBIS returned-record depth envelope,body about 4 cm,pale orange vent shrimp with long antennae and a narrow body,https://api.obis.org/v3/occurrence?taxonid=586785&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=586785,https://www.gbif.org/occurrence/search?scientific_name=Rimicaris%20chacei&media_type=StillImage,reference-only; rights verification required,2026-08-06
I081,,Bartlett's deep-sea shrimp,Benthoecetes bartletti,shrimp,0,5777,OBIS returned-record depth envelope; 0 m can be tow interval,body about 8 cm,slender red shrimp with an elongate rostrum,https://api.obis.org/v3/occurrence?taxonid=1391796&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1391796,https://www.gbif.org/occurrence/search?scientific_name=Benthoecetes%20bartletti&media_type=StillImage,reference-only; rights verification required,2026-08-06
I082,,Robust deep-sea shrimp,Robustosergia robusta,shrimp,0,3063,OBIS returned-record depth envelope; 0 m can be tow interval,body about 8 cm,translucent red body with visible photophores,https://api.obis.org/v3/occurrence?taxonid=1056517&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1056517,https://www.gbif.org/occurrence/search?scientific_name=Robustosergia%20robusta&media_type=StillImage,reference-only; rights verification required,2026-08-06
I083,,Glass shrimp,Pasiphaea multidentata,shrimp,0,3071,OBIS returned-record depth envelope; 0 m can be tow interval,body about 12 cm,slender translucent shrimp with long antennae,https://api.obis.org/v3/occurrence?taxonid=107676&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107676,https://www.gbif.org/occurrence/search?scientific_name=Pasiphaea%20multidentata&media_type=StillImage,reference-only; rights verification required,2026-08-06
I084,,Slender shrimp,Nematocarcinus gracilis,shrimp,1,2308,OBIS returned-record depth envelope,body about 10 cm,long fragile legs and antennae with a thin rostrum,https://api.obis.org/v3/occurrence?taxonid=514311&size=500,https://www.marinespecies.org/aphia.php?p=taxdetails&id=514311,https://www.gbif.org/occurrence/search?scientific_name=Nematocarcinus%20gracilis&media_type=StillImage,reference-only; rights verification required,2026-08-06
I085,,Hydrothermal vent mussel,Bathymodiolus thermophilus,other_invertebrate,1598,3300,OBIS returned-record depth envelope,shell to about 20 cm,black elongated mussel shell often in dense vent-bed clusters,https://api.obis.org/v3/occurrence?taxonid=183000&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=183000,https://www.gbif.org/occurrence/4511809235,reference-only; rights verification required,2026-08-06
I086,,Giant tube worm,Riftia pachyptila,other_invertebrate,1562,3050,OBIS returned-record depth envelope,tube to about 2 m,long white tube topped by a bright red branchial plume,https://api.obis.org/v3/occurrence?taxonid=266010&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=266010,https://www.gbif.org/occurrence/search?scientific_name=Riftia%20pachyptila&media_type=StillImage,reference-only; rights verification required,2026-08-06
I087,,Cold-seep tube worm,Lamellibrachia luymesi,other_invertebrate,400,1000,OBIS returned-record depth envelope,tube to about 1.5 m,long pale tube with a red plume projecting from the tip,https://api.obis.org/v3/occurrence?taxonid=265815&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=265815,https://www.gbif.org/occurrence/search?scientific_name=Lamellibrachia%20luymesi&media_type=StillImage,reference-only; rights verification required,2026-08-06
I088,,Cold-seep tube worm,Escarpia laminata,other_invertebrate,540,3200,OBIS returned-record depth envelope,tube can exceed 2 m,very long white tube with a small red branchial plume,https://api.obis.org/v3/occurrence?taxonid=265923&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=265923,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=126085&tid=265923,reference-only; rights verification required,2026-08-06
I089,,Swimming sea cucumber,Enypniastes eximia,other_invertebrate,100,6170,OBIS returned-record depth envelope,body about 25 cm,translucent pink sea cucumber with webbed swimming fins,https://api.obis.org/v3/occurrence?taxonid=124759&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=124759,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=102823&tid=124759,reference-only; rights verification required,2026-08-06
I090,,Sea cucumber,Psychropotes longicauda,other_invertebrate,271,5689,OBIS returned-record depth envelope,body about 50 cm,purple brown sea cucumber with a sail-like dorsal appendage,https://api.obis.org/v3/occurrence?taxonid=124778&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=124778,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=102520&tid=124778,reference-only; rights verification required,2026-08-06
I091,,Sea pig,Scotoplanes globosa,other_invertebrate,26,6770,OBIS returned-record depth envelope,body about 10 to 20 cm,pink translucent sea cucumber with walking tube feet and dorsal papillae,https://api.obis.org/v3/occurrence?taxonid=148773&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=148773,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=80783&tid=148773,reference-only; rights verification required,2026-08-06
I092,,Venus flower basket,Euplectella aspergillum,other_invertebrate,85,1296,OBIS returned-record depth envelope,skeleton to about 30 cm,delicate cylindrical lattice of fused silica spicules,https://api.obis.org/v3/occurrence?taxonid=171897&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=171897,https://www.gbif.org/occurrence/search?scientific_name=Euplectella%20aspergillum&media_type=StillImage,reference-only; rights verification required,2026-08-06
